HomeTeam,AwayTeam,FTR,HomeShoot,AwayShoot,HomeCorner,AwayCorner,HomeFouls,AwayFouls,HomeYellow,AwayYellow,HomeRed,AwayRed,HomeWin,AwayWin,HomeDraw,AwayDraw,HomeLoss,AwayLoss,B365H,B365D,B365A
Bayern Munich,Wolfsburg,D,82,34,30,10,36,62,4,8,0,0,3,1,1,2,0,1,1.14,8.5,19.0
Dortmund,M'gladbach,H,73,49,22,7,41,40,3,4,1,0,3,1,0,2,1,1,1.44,4.75,7.0
Hoffenheim,Schalke 04,H,62,46,19,21,68,69,10,8,0,0,3,2,2,0,0,2,2.2,3.5,3.25
Mainz,Hertha,H,70,20,27,7,79,51,12,6,0,1,3,0,0,1,2,2,2.2,3.3,3.4
RB Leipzig,Ein Frankfurt,H,56,56,13,26,33,86,4,10,1,0,2,3,1,1,0,1,1.7,3.8,5.0
Stuttgart,Augsburg,D,62,46,17,17,45,54,7,8,0,0,3,1,1,2,0,1,2.1,3.4,3.6
Werder Bremen,Freiburg,D,55,30,17,12,50,42,6,3,0,1,0,0,1,1,3,3,1.7,4.0,4.75
Hannover,FC Koln,D,52,55,18,28,66,66,9,10,0,0,2,0,1,1,1,4,1.95,3.6,3.8
Leverkusen,Hamburg,H,72,45,28,19,53,60,6,5,0,1,2,1,2,0,0,3,1.36,5.0,8.5
Schalke 04,Leverkusen,D,48,54,15,18,69,73,6,9,0,0,2,0,1,1,1,3,2.3,3.4,3.1
Augsburg,Dortmund,A,55,71,24,20,66,52,8,1,0,0,2,3,1,1,1,0,7.5,4.5,1.44
Ein Frankfurt,Stuttgart,H,45,44,14,9,41,56,6,4,1,0,1,0,0,0,2,4,1.95,3.5,4.0
Hamburg,Werder Bremen,D,43,40,17,22,60,72,9,8,0,0,1,0,1,3,2,1,2.7,3.2,2.75
M'gladbach,Hannover,H,69,42,30,12,50,66,7,11,0,0,3,1,0,2,1,1,1.73,3.6,5.25
Wolfsburg,Mainz,D,45,34,14,17,37,36,5,7,1,0,0,0,3,1,1,2,2.1,3.4,3.6
FC Koln,RB Leipzig,A,53,75,19,30,38,78,4,12,0,1,0,3,0,0,3,2,3.8,3.5,2.0
Freiburg,Hoffenheim,H,50,39,17,19,48,41,5,8,1,0,1,1,3,1,0,1,3.6,3.5,2.05
Hertha,Bayern Munich,D,35,69,15,27,65,41,5,5,1,0,2,2,2,1,1,1,8.5,5.0,1.36
Stuttgart,FC Koln,H,62,55,17,28,45,66,7,10,0,0,3,0,1,1,0,4,1.83,3.6,4.33
Bayern Munich,Freiburg,H,82,30,30,12,36,42,4,3,0,1,3,0,1,1,0,3,1.08,13.0,21.0
